[19-Apr-2017 11:12:17 Asia/Shanghai] PHP Notice:  Undefined index: password in D:\phpStudy\WWW\2017\imbuilder\libraries\Yf\Db\Pdo.php on line 109
[19-Apr-2017 11:12:17 Asia/Shanghai] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\phpStudy\WWW\2017\imbuilder\install\IndexCtl.php:183) in D:\phpStudy\WWW\2017\imbuilder\libraries\Yf\Data.php on line 368
[19-Apr-2017 11:12:18 Asia/Shanghai] PHP Notice:  Undefined index: im in D:\phpStudy\WWW\2017\imbuilder\libraries\Yf\Db\Pdo.php on line 188
[19-Apr-2017 11:12:18 Asia/Shanghai] PHP Warning:  array_rand() expects parameter 1 to be array, null given in D:\phpStudy\WWW\2017\imbuilder\libraries\Yf\Db\Pdo.php on line 188
[19-Apr-2017 11:12:18 Asia/Shanghai] PHP Notice:  Undefined index: im in D:\phpStudy\WWW\2017\imbuilder\libraries\Yf\Db\Pdo.php on line 189
[19-Apr-2017 11:12:18 Asia/Shanghai] PHP Notice:  Undefined index: user in D:\phpStudy\WWW\2017\imbuilder\libraries\Yf\Db\Pdo.php on line 109
[19-Apr-2017 11:12:18 Asia/Shanghai] PHP Notice:  Undefined index: password in D:\phpStudy\WWW\2017\imbuilder\libraries\Yf\Db\Pdo.php on line 109
[19-Apr-2017 11:12:18 Asia/Shanghai] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\phpStudy\WWW\2017\imbuilder\install\IndexCtl.php:183) in D:\phpStudy\WWW\2017\imbuilder\libraries\Yf\Data.php on line 368
[19-Apr-2017 11:12:18 Asia/Shanghai] PHP Notice:  Undefined index: im in D:\phpStudy\WWW\2017\imbuilder\libraries\Yf\Db\Pdo.php on line 188
[19-Apr-2017 11:12:18 Asia/Shanghai] PHP Warning:  array_rand() expects parameter 1 to be array, null given in D:\phpStudy\WWW\2017\imbuilder\libraries\Yf\Db\Pdo.php on line 188
[19-Apr-2017 11:12:18 Asia/Shanghai] PHP Notice:  Undefined index: im in D:\phpStudy\WWW\2017\imbuilder\libraries\Yf\Db\Pdo.php on line 189
[19-Apr-2017 11:12:18 Asia/Shanghai] PHP Notice:  Undefined index: user in D:\phpStudy\WWW\2017\imbuilder\libraries\Yf\Db\Pdo.php on line 109
[19-Apr-2017 11:12:18 Asia/Shanghai] PHP Notice:  Undefined index: password in D:\phpStudy\WWW\2017\imbuilder\libraries\Yf\Db\Pdo.php on line 109
[19-Apr-2017 11:12:18 Asia/Shanghai] PHP Warning:  Cannot modify header information - headers already sent by (output started at D:\phpStudy\WWW\2017\imbuilder\install\IndexCtl.php:183) in D:\phpStudy\WWW\2017\imbuilder\libraries\Yf\Data.php on line 368
[19-Apr-2017 11:15:16 Asia/Shanghai] PHP Notice:  Undefined index: im in D:\phpStudy\WWW\2017\imbuilder\libraries\Yf\Db\Pdo.php on line 188
[19-Apr-2017 11:15:16 Asia/Shanghai] PHP Warning:  array_rand() expects parameter 1 to be array, null given in D:\phpStudy\WWW\2017\imbuilder\libraries\Yf\Db\Pdo.php on line 188
[19-Apr-2017 11:15:16 Asia/Shanghai] PHP Notice:  Undefined index: im in D:\phpStudy\WWW\2017\imbuilder\libraries\Yf\Db\Pdo.php on line 189
